user_id,email,first_name,last_name,phone_number,date_of_birth,address,city,state,country,postal_code,policy_number,policy_type,policy_start_date,policy_end_date,premium_amount,coverage_amount,account_created_at,account_age_days,account_status,is_verified,risk_category,claim_frequency,fraud_propensity,total_claims_count,total_claims_amount,fraud_flags_count
cbc76764-359f-4ac5-92d2-da614e5dbb38,user0000@example.com,Thomas,Villa,407.421.7340x242,1992-08-31,98306 Jack Freeway Suite 540,Boston,MA,USA,12840,POL-000000,health,2025-11-07,2027-11-07,7819.17,361325.7,2025-11-07,69,active,True,medium,medium,0.14387944784599707,13,39831.32,3
2e87d417-92d4-4abf-ad7a-b83ad9dce496,user0001@example.com,Cory,Gibbs,642-948-4202x4350,1973-11-24,86156 Smith Unions,Nashville,TN,USA,75992,POL-000001,auto,2025-06-29,2027-06-29,1678.32,96108.8,2025-06-29,200,active,True,low,low,0.03655692968943125,6,11983.05,0
61c39dfa-2f82-4a01-a7a6-1d5d55e45732,user0002@example.com,Kyle,Bell,+1-389-213-7054x245,1979-07-15,1103 Reyes Ridges,Lincoln,NE,USA,35519,POL-000002,health,2022-06-18,2023-06-18,9346.84,313804.01,2022-06-18,1307,active,True,low,low,0.037165395321875634,4,8117.59,0
64c2ae7f-dd00-465e-871a-30f042801728,user0003@example.com,Becky,Branch,4234766696,1983-02-02,86194 Mary Road,Laredo,TX,USA,71511,POL-000003,life,2021-12-10,2022-12-10,14428.59,1208509.81,2021-12-10,1497,active,True,high,high,0.37274507641590726,21,22147.22,7
ded81030-ab4d-4430-acf0-0bf264c2b464,user0004@example.com,James,Rhodes,+1-534-624-2406x628,1973-10-28,8893 Jonathan Mountains,Indianapolis,IN,USA,49119,POL-000004,health,2024-12-12,2026-12-12,14763.3,387302.77,2024-12-12,399,active,True,low,low,0.027598227531102464,4,53605.630000000005,0
6a574ec4-6f3e-4be3-93b1-aacd919294c1,user0005@example.com,Susan,Rose,(494)708-6542x43826,1969-12-18,3509 Martin Trace Suite 947,Nashville,TN,USA,83280,POL-000005,auto,2021-07-20,2022-07-20,2391.37,98995.05,2021-07-20,1640,active,True,low,low,0.07858937966887322,9,15664.58,0
4d495a13-a1c7-4258-aa70-95ef4f0f251f,user0006@example.com,John,Simmons,+1-664-953-5917x650,1957-04-07,09954 Andrea Motorway,San Diego,CA,USA,28323,POL-000006,home,2025-05-13,2027-05-13,4350.83,361845.48,2025-05-13,247,active,True,high,high,0.3488352709862286,24,90609.05,10
62e60ead-f832-4046-8a03-df452b11df4e,user0007@example.com,Valerie,Stevenson,+1-966-286-6798x994,1973-09-26,0690 Meghan Road,Austin,TX,USA,58213,POL-000007,home,2025-09-16,2026-09-16,1959.85,321248.56,2025-09-16,121,active,True,medium,medium,0.15067102909055988,18,55287.44,2
bc7eb9e4-f589-4c3a-9842-c8b50a1232a2,user0008@example.com,Christopher,Richmond,884.871.5675,1992-04-03,518 Acevedo Spur,Plano,TX,USA,13073,POL-000008,home,2025-07-30,2026-07-30,3915.6,636521.86,2025-07-30,169,active,True,high,high,0.3382189098201782,14,16079.24,3
f6ba3576-c11c-4031-8ca1-5ae3612aaf98,user0009@example.com,Eileen,Green,001-723-243-5969x8504,1987-06-28,9375 Williams Views Suite 286,Henderson,NV,USA,09951,POL-000009,health,2022-12-16,2024-12-15,7237.18,275497.06,2022-12-16,1126,active,True,low,low,0.05723341082140751,13,83395.75,0
